Area,Avg_Rent_PKR,Total_Monthly_PKR,Breakeven_Students,Annual_Cost_PKR,Profit_100st_PKR,Profit_150st_PKR,Profit_200st_PKR,Zone_Type,Lat,Lon
Raiwind Road,45000,405000,135,4860000,-1260000,540000,2340000,Peri-Urban,31.3825,74.375
Wapda Town,52500,412500,138,4950000,-1350000,450000,2250000,Low-Cost Suburban,31.4463,74.2776
Township,60000,420000,140,5040000,-1440000,360000,2160000,Low-Cost Suburban,31.4792,74.2637
Iqbal Town,62500,422500,141,5070000,-1470000,330000,2130000,Low-Cost Suburban,31.51,74.325
Faisal Town,70000,430000,144,5160000,-1560000,240000,2040000,Low-Cost Suburban,31.456,74.3016
Allama Iqbal Town,70000,430000,144,5160000,-1560000,240000,2040000,Low-Cost Suburban,31.5023,74.3429
Johar Town,100000,460000,154,5520000,-1920000,-120000,1680000,Mid-Cost Urban,31.4697,74.2799
Bahria Town,110000,470000,157,5640000,-2040000,-240000,1560000,Low-Cost Suburban,31.3635,74.2073
Cantt,115000,475000,159,5700000,-2100000,-300000,1500000,High-Cost Urban,31.5497,74.4085
Model Town,150000,510000,170,6120000,-2520000,-720000,1080000,Mid-Cost Urban,31.5149,74.3337
DHA Phase 1-5,159000,519000,173,6228000,-2628000,-828000,972000,High-Cost Urban,31.4697,74.4025
Gulberg,350000,710000,237,8520000,-4920000,-3120000,-1320000,High-Cost Urban,31.5204,74.3587
